Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Modalidad,Jornada Laboral,DocentesFemenino,DocentesMasculino,TotalDocentes,TotalAdministrativos,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
Loja_Province,LOJA,VALLE,-3,987918158240,UNIDAD EDUCATIVA FISCOMISIONAL  PARA PCI HERMANO ANGEL PASTRANA,BERNARDO VALDIVIESO 0361 QUITO Y JOSE FELIX DE VALDIVIESO ,FiscomitionalHighSchool,Costa,Distancia,Matutina,44,21,65,1,514
Loja_Province,LOJA,VALLE,-3,976996903350,UNIDAD EDUCATIVA FISCOMISIONAL CALASANZ,AVENIDA ORILLAS DEL ZAMORA  ISIDRO AYORA ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,Nocturno,59,29,88,24
Loja_Province,PALTAS,YAMANA,-4,3836170510,COLEGIO DE BACHILLERATO FRANCISCO VALDIVIESO ALVARADO,   AV 20  DE JULIO,FiscalHighSchool,Costa,Presencial,Matutina,4,4,8,3,34
Loja_Province,LOJA,ELSAGRARIO,-3,998861008450,UNIDAD EDUCATIVA PARTICULAR ATENEO,CALLE SUCRE 05-43 COL�N E IMBABAURA ,LaicHighSchool,Sierra,Presencial,Matutina,23,2,25,6,134
Loja_Province,LOJA,ELSAGRARIO,-3,998277339160,UNIDAD EDUCATIVA PARTICULAR JOSE ANTONIO EGUIGUREN  LA SALLE,AVENIDA ORILLAS DEL ZAMORA 3 ROCAFUERTE ,ReligiousHighSchool,Sierra,Presencial,Matutina,28,17,45,19,314
Loja_Province,LOJA,SANSEBASTIAN,-4,3302760020,UNIDAD EDUCATIVA PARTICULAR JUAN MONTALVO,AV. EMILIANO ORTEGA 1375 LOURDES ,LaicHighSchool,Sierra,Presencial,Matutina,14,4,18,8,75
Loja_Province,LOJA,ELSAGRARIO,-3,994529150910,UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS,IMBABURA 13-46 BOLIVAR  Y BERNARDO VALDIVIESO ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,44,18,62,8,612
Loja_Province,GONZANAMA,CHANGAIMINA(LALIBERTAD),-4,222472808760,UNIDAD EDUCATIVA SAN VICENTE DE PA�L,   A UNA CUADRA DEL SANTUARIO REINA DE LA CARIDAD,FiscomitionalHighSchool,Costa,Presencial,Matutina,14,12,26,6,218
Loja_Province,CALVAS,SANGUILLIN,-4,449720315060,UNIDAD EDUCATIVA SANGUILLIN,   CENTRO PARROQUIAL SANGUILLIN FRENTE AL PARQUE CENTRAL,FiscalHighSchool,Costa,Presencial,Matutina,8,8,16,4,112
Loja_Province,LOJA,ELSAGRARIO,-3,998115770290,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS,OLMEDO 0960 ROCAFUERTE Y MIGUEL RIOFRIO ,ReligiousHighSchool,Sierra,Presencial,Matutina,43,13,56,22,1.199
Loja_Province,MACARA,MACARA(MANUELENRIQUERENGELSUQUILANDA),-4,354343123070,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS,JUVENAL JARAMILLO 69-15 ALAMOR ,FiscomitionalHighSchool,Costa,Presencial,Matutina,28,9,37,3,493
Loja_Province,CELICA,CELICA,-4,103198552690,UNIDAD EDUCATIVA SANTA TERESITA,GARCIA MORENO  PRESBITERO RIOFRIO ,FiscomitionalHighSchool,Costa,Presencial,Matutina,36,11,47,4,354
Loja_Province,ESPINDOLA,AMALUZA,-4,539268285610,UNIDAD EDUCATIVA TIOPAMBA,   VIA AMALUZA A CARIAMANGA KM 8 BARRIO  TIOPAMBA,FiscalHighSchool,Costa,Presencial,Matutina,9,7,16,3,79
